Staff Group,Comment,No of Comments
Administrative and Clerical,"When multiple parties are copied on email, the sender(s) should be conscious of whether everyone really needs to be copied and especially on courtesy replies or thankyous or tangential replies.",1
Administrative and Clerical,"While the Trust genuinely strives to create a cohesive, long-term plan, there appears to be a lack of alignment in certain areas.  It often feels as though different departments pursue their initiatives independently, whether it's the procurement and implementation of new systems, internal projects, or collaborations with external partners.  This lack of cohesion can result in efforts that don't always align with the overarching strategic goals.  To truly create an integrated, effective approach, we could benefit from adopting a more holistic planning process.  This would involve bringing all key stakeholders into the conversation from the outset, ensuring that everyone has a clear understanding of priorities and how their work fits into the larger plan.  Currently, the absence of a unified prioritisation can lead to resource strain, causing individuals and teams to become overstretched as they work to meet disparate demands.  This strain not only increases the risk of errors but also impacts the well-being of our staff, who may experience stress-related health issues when navigating these pressures.  By fostering a more inclusive planning process and prioritising cohesion, we can better position ourselves to deliver exceptional results across the board, maintaining both the quality of our work and the well-being of our teams.",1
Administrative and Clerical,"Whilst going through consultation.  I feel that not enough information is being given, causing anxiety and stress.",1
Administrative and Clerical,"Whilst the trust is making in roads with regards IT.  Many systems used by various departments often don't communicate with each other such as roster, impacts, etc.  Health systems are fragmented and don't communicate to external systems at times.  Financial constraints are a big issue for staffing and finding the right staff is a challenge.  The quality of buildings is poor in some areas and the means to upgrade/renew is almost non existent.  Private providers are eating up huge amounts of public money for profit in areas of commissioned services, bank staff due to shortages, and undoubtedly repairs and maintenance is extortionate.  Don't feel I've been able to.  Progress as I'd like, found it difficult to understand aspects of job but don't feel I've been supported practically are times to rally progress to a role that I aspired to.  I think HR processes are restrictive for managers and way to to generous at times to staff.  There isn't even a requirement for individuals to show diagnosis of stated health conditions such as ADHD of that they have been referred or being assessed.  Staff can almost say anything they like and we are expected to accept this on face value and then manage the requests sometimes completely unacceptable and proportionate to the requirements of the service.  In other sectors or if it was myself I would be happy to evidence any condition I have in support of myself to gain the proper support from my employer.  These issues really need to be addressed for a better financial footing as well as being able to hire and manage people more effectively and stop allowing people to take advantage.",1
Administrative and Clerical,"Working environment is poor, heating can't be controlled, windows not accessible/easy to open and close, roof leaking.  Would feel better if I could buy nutritious (able to get a few of my 5 day )in the canteen, but It's very difficult to, veg and salad portions often only coming with set meals.",1
Administrative and Clerical,"Working for the Mersey Care Long COVID Service, we provide a robust and caring MDT approach to patient care.  All staff are equally valued as integral to the service provision.",1
Administrative and Clerical,"Working from home is not allowed regardless of reason for request, although this worked well during COVID.  Some areas are still working from home.  Flexible working is not encouraged/allowed.  Different rules for managers who can work from home for any reason i.e. car in for MOT, waiting delivery of an item, tradesperson attending to do work, we would have to take annual leave.  General unfairness between bandings.",1
Administrative and Clerical,Working from home should be available for all staff.  Not enough promotion opportunities.,1
Administrative and Clerical,Would like the sickness policy to be reviewed.,1
Administrative and Clerical,"Your specialist clinical services admin teams should be managed by the specialist clinical team leaders as they understand the requirements and complexities that the admin job role entails.  Centralised admin teams do not work as they do not understand the complex requirements that are needed for the specialist services.  Being managed from afar is not the way forward it brings so many problems i.e. sick leave, work relationships, guidance, support, work challenges, organisation of work loads team building the list continues.  We have never been able to attend admin team meetings as we can not leave the job for more than half an hour due to the work demands, this is not right.",1
Allied Health Professionals,"Although the RJLC culture is important, I have found there is a challenge in holding people to account when performance or actions falls below the expected standards.  I think there is a fine balance to be struck still between RJLC and accountability.  I have found there is support for staff to prevent managers treating staff unfairly, however there is limited support for managers when the situation in reversed.",1
Allied Health Professionals,"As a department it is a fact we are short staffed.  And have a exodus of clinicians this year.  While the rest of us perform at our AFC band it is demoralising to see that clinicians are brought in as band 7 AFC and doing band 5-6 work as it was the only way anyone will apply.  Within the profession we have a bad name of over working staff.  The staff that remain are loyal to each other and that is the main reason they are in work.  To have staff in tears daily on a team meeting and stating its too much, I cant cope, stop adding to my case load is heart breaking.  We have manager who is living in the past and how thing's worked where she used to work.  She needs to be in the moment and face with the issues here and now.  Managers saying they see patients in their unpaid lunch, isn't a solution and should be condoned.  As this is then a sign to lower staff members well if manager doing it I must do it as well.  If we need to see patients during unpaid lunch then logistically something requires addressing as just sticking a band aid over a issue doesn't resolve it.  We now see that advertised are positions higher than my pay grade where experience isn't necessary.  So leave they have just qualified from university.  No NHS experience, patient experiences or computer system skills and they are rewarded with a Band 6, a position unobtainable to me after [number removed] years service.  We have band 7's who just seem to spend time in meetings and admin.  In the past three years we have had managers who I personally feel haven't been equipped to do the job, very nice people but not management material.  I feel we are a department lost at sea, bobbing around on a ocean like a rudderless ship.  As AHP we have a duty to maintain our development with CPD.  As I am employed by the NHS this is a mutual arrangement where this essential training to maintain my professionalism is given by the trust.  Continually meeting after meeting and CPD session after CPD session has been cancelled last minute due to staff shortages.  Again this bring despondency to the team.  We get no down time or time to catch up with each other.  As clinicians we work autonomously so we look forward to these sessions.  Our commitment to patients?  We have patients adults and children in pain with acute conditions,  are we being open and honest and writing and telling them just how long they are going to have to wait to have the treatment they are waiting for?",1
Allied Health Professionals,"As a whole I feel that we as a team are feeling generally burnt out and that morale is at an all time low- we are currently severely understaffed, operating on EMS level 3 for a long period now with an ever increasing workload which we are expected to complete within an unrealistic time frame.  This in turn is causing many staff to take long term sickness due to work related stress and this is further exacerbating the problem even with aid from other trusts etc.  This has been ongoing now for several months and does not seem to be getting any better and I am concerned about the further implications of this on the team in general.  I would however like to say a massive thank you to the team managers who are doing an excellent job of showing their support towards us as a team during these difficult times and especially towards myself- I am currently going through a lot of [details removed] issues and management have been incredibly supportive towards me with everything from checking in on me regularly to accommodating appointments which I have needed to attend and ensuring I know that they are only a phone call away if needed- in fact I would like to offer my most recent thanks to my team manager for taking time out of there day off to call me after I had emailed to express my levels of work related stress and how this has been affecting me as I really do feel this was above and beyond the call of duty and I would like this to be recognised higher up.  Thank you!",1
Allied Health Professionals,As I have only been in post for a [timeframe removed] I feel I cant make too many comments on this organisation.  But what I have seen up to now of my team and the organisation so far I cant complain.,1
Allied Health Professionals,Bullying and nepotism is rife.,1
Allied Health Professionals,Bullying culture evident at senior level.  Senior managers not upholding trust values.  Staff are not being valued or recognised for genuine hard work and the expertise and value they bring.  Some staff given unfair advantage due to who they know.,1
Allied Health Professionals,Clinical staff need to have the opportunity to work from home to complete admin tasks as much as the managing staff do.  Also mental health days should be brought in to stop people leaving the role within the first 2 years.,1
Allied Health Professionals,"Considering the trust has a reported learning culture, can I suggest that bands 8 and above consider this as these people in the hierarchy need to wake up and pull their fingers out!  The only group of people learning are the clinicians at the sharp end?  Glad to be retiring within the next year as I find Mersey care absolutely embarrassing at board and higher levels - not a clue!",1
Allied Health Professionals,Continually bombarded with emails and information.  I feel that half the job is taking up with satisfying policies and procedures which leaves less time for clinical practice.  This is not always reflected when scrutinizing time allocation between clinical and no-clinical duties.  More time is spent using IT which at times connectivity is an issue and my eyes sight has deteriorated due to the amount of screen time now expected as part of carrying out my job role.,1
Allied Health Professionals,Don't feel valued by the organisation although we are working as a small cog in the bigger picture I feel under valued and don't feel praised for all my work and effort put into my team.  I don't feel supported to develop my career and not had the opportunity to do this.  Reasonable adjustments have been supported by DWP but no one has provided me with an office space to utilise these.  I have to continue to type I am unable to use the dragon software which was part of my reasonable adjustment package.,1
Allied Health Professionals,"Due to management restructure and an obsessive focus on KPIs, staff at every grade are feeling more and more pressures on their time.  Band 7's are being forced to spend more time on non-clinical activities pushing pressure further down the line.  Staff morale is low, good staff are leaving due to this.  Staff also leaving due to no career progression opportunities as Band 7 roles which are being vacated are not being replaced.  It doesn't really feel like a nice place to work anymore.",1
Allied Health Professionals,"Feel well supported by my line manager and in my immediate team.  However do not feel well supported by higher management that has been reduced so that they cover more teams than previously.  Can see that more is being put onto the Band 7 level of staff adding to their stress and reducing their clinical time with patients.  Band 7 opportunities are being lost as when a band 7 job becomes available it is being down graded to band 6.  This has already resulted in the loss of a fabulous Band 6 clinician that has left the organisation due to being told there will be no opportunity for her to progress.  Feel that the skills, expertise and loyalty of experienced band 6 staff is very much being taken for granted.  We are expected to the bulk of clinical visits but also more being asked of us as more demands made on Band 7 time.",1
Allied Health Professionals,"From a reports perspective, i.e. rapid reviews/ radars/ documenting in prep for QRV/ documenting safety huddles etc., I feel there has been a huge increase in this admin type work which takes time and has resulted in reducing clinical time to see patients and support staff.  This needs to be considered in respect of staffing.  There are tasks such as documenting MCA/ BI and completing shared decision tools which take a great deal of time and is not reflected in out staffs timetabling.  Staff are mostly clinical with little admin time to complete such tasks.  This needs to be addressed.",1
Allied Health Professionals,"Generally there is not enough resource to meet demand.  There is a very nursing/medical/psychological heavy focus from the organisation and allied health roles are not valued.  There have been recent developments in allied health but not a change of culture and attitudes, respect and value towards AHPs are very poor in some areas.",1
Allied Health Professionals,Haven't had any management 1-1 supervision in Sefton in [timeframe removed] with regard to caseload management or health and wellbeing.,1
Allied Health Professionals,Having my occupation listed as AHP other says it all really about how valued I feel my profession is within this organisation.,1
Allied Health Professionals,Hybrid model of working is life changing and provides a much better balance.  The option for people to decide where they work best and can output the most work is invaluable.,1
Allied Health Professionals,"I am due to leave the organisation, I value the time I have worked here and hope to return in the future.",1
Allied Health Professionals,"I am experiencing difficulties completing the RADAR system of reporting safety concerns.  The online form isn't fit for purpose.  The trust has become so large that forms are required to cover in patient, community, mental health, and physical health settings which makes forms such as RADAR very difficult to complete.  As a [details removed] I have concerns that errors /concerns aren't being recorded as staff when completing RADAR find the form isn't saved.",1
Allied Health Professionals,I am happy in my job.,1
Allied Health Professionals,"I am happy to work in my team, inside the organisation.  Many thanks.",1
Allied Health Professionals,I am happy with in my current role.,1
Allied Health Professionals,"I am very grateful to my colleagues, managers and other management of my organisation.  And I love my patients, most/all most all of them are wonderful.",1
Allied Health Professionals,"I applied to reduce my hours , I have had to wait for over many months for the organisation to recruit another member of staff to allow me to finally reduce my working week from 4 days to 3.",1
Allied Health Professionals,"I do my job, because I love to do it and I enjoy making a difference in people's life.  But the way that the health has been approached is fragmented and inefficient.  I would recommend to offer different opportunities to the patients, where in one place all the needs are sorted while the patient is visiting.  Also, trusts' education programs should promote holistic perspective to diagnose and treat, and when possible to provide with more physical contact and appreciation than given self-care responsibilities, to people that are living lives with isolation and minimal common sense..  Currently, the opportunities to see and talk with a person to receive help, are very limited and humans need humans to find the way throw their difficulties.",1
Allied Health Professionals,"I don't feel the organisation listen to our team as a whole.  I feel they hear what they want to hear and don't resolve issues.  For example, since COVID we have been moved base 4 or maybe 5 times.  Number of desks gets smaller each time.  We are now in an office that is out of area to our patients so travel time to base we could have had clinical contact instead with patients.  As a band 5 I feel I would benefit from an office base that everyone feels they can travel to within work hours so that I have support to ask questions rather than over the phone.  Physio is a hands on job and I need hands on guidance not remote.  Also, I feel the office issue has affected our teams health and wellbeing.  We work remotely within community and it is difficult to set boundaries and we often work over our hours and through are lunch breaks.  The team are absolutely amazing and I feel we are not appreciated with the way we are treated, recently another change to our desk space without any consultation.  I feel our operational lead has a difficult job and is not very present because they are too busy with higher management issues.  All this leads to is poor staff retention and lack of job satisfaction and team with low morale and people will end up burning out.",1
Allied Health Professionals,I don't like the pay step in the bandings.  It infers that we haven't learnt a thing in a year and our experience not valued.  We should have our increments yearly for all grades.,1
Allied Health Professionals,"I enjoy all aspects of my work apart from unnecessary paperwork which sometimes is felt like it is done for the sake of doing it.  The incident reporting system and processes are simplified and streamlined, it would make clinician's job much more efficient and result in effective service delivery.",1
Allied Health Professionals,I enjoy my job and look forward to coming to work.,1
Allied Health Professionals,"I enjoy the clinical aspects of my role and feel this brings me job satisfaction.  This is the reason I am in the role and not looking for alternative employment.  There have been significant issues with staffing which have been poorly handled by senior management in recent years, with people being treated as numbers, feeling unsafe in their workplace and treated unfairly.  This has impacted on staff wellbeing, sickness rates, morale and has placed additional pressures on others to maintain safe and effective patient care.  These efforts go unrecognised and staff are left feeling undervalued.  Staff are often advised that they are 'over reporting' on incidents in attempts to escalate these concerns and any rare interactions with senior management feel like an interrogation process, rather than what should be an effort to understand and support the challenges we face.",1
Allied Health Professionals,"I feel as though there is a strong team identity in my Trust.  However, often, it becomes challenging where the NHS is attempting to collaborate with other organisations - e.g.  The city council.",1
Allied Health Professionals,"I feel like immediate members of staff in my team (e.g. team leaders and other clinicians) are doing everything we can to support one another.  The work load is getting heavier with more procedures/admin tasks to be done (radars/reporting), chasing things up with other organisations and patients becoming more complex.  We cannot recruit anyone, this is having an affect on us all.  Moods are low and people are fed up at times.",1
Allied Health Professionals,"I feel more and more dismayed and disheartened with the state of the trust both for patients and staff.  It is run as a business and not as a caring environment for staff or patients.  The opportunity to progress for staff who are not full time is none existent, despite this being no fault of the person and having both the skills and experience to complete the role leading to progression and fully able to meet the needs of the service.  This also applies to training.  I have continually asked for training and have had absolutely no opportunities outside of eLearning, which I find of very limited benefit in improving my skills and knowledge.  I am not happy in my role, I am not happy working for this trust.  I feel both staff and patients are often 'done to' than 'with' despite the valid concerns and contributions that could be taken on board.  People get promoted because of who they know and not because of their genuine experience and skill.  The lack of adequate treatment for patients is diabolical.  The lack of beds is appalling.  I am entirely frustrated on behalf of myself, colleagues, patients and carers.",1
Allied Health Professionals,"I feel that issues could be addressed/resolved if staff members are offered an exit interview, even if they move job internally.  It is difficult for staff living in Liverpool to not work for Mersey care due to the trust size.",1
Allied Health Professionals,I feel that the organisation's size makes joined up working and supporting service user involvement in decision making difficult.  Various parts of the organisation are working in different ways in terms of service user involvement.  In terms of secure services recruitment and retention of OTs needs looking into and supporting as the lack of these professionals has an impact on all aspects of positive discharge experiences.,1
Allied Health Professionals,"I feel that there needs to be more equality in the management structures in the trust, there are staff line managing larger teams of 30+ staff while others managers within the same division are managing small teams of less than 10 staff.  In my role for the past 12 months at least 50% of that time I have had no operational manager in place.  This has meant that I have received very infrequent management supervision and support, been a new manager supporting over 30 staff I feel that this is not adequate making the role very difficult.",1
Allied Health Professionals,"I feel there should be recognition for length of service.  Whilst immediate managers are supportive and show appreciation of experience, the trust should be able to award something to recognise those who have significant experience at the top of their bands, often performing above their bands due to their experience.  The trust needs to explore further opportunities for clinical specialist posts as currently you can only progress as an AHP past a B7 if you go into management/ non patient facing job role.",1
Allied Health Professionals,"I feel upper management is lead too much by KPIs and productivity relating to number of patient visits rather than quality of visits.  This is not a true reflection of the work load we do on a daily basis which is complex, qualitative, and multi-faceted.",1
Allied Health Professionals,I feel valued by my team but not the organisation.,1
Allied Health Professionals,I feel well supported by my team interim manager and also by their ops manager.,1
Allied Health Professionals,"I had to raise formal concerns about the service and colleagues clinical work around 12 months ago.  An action plan was written but I never had an outcome to this despite chasing it up.  There are ongoing issues with colleagues talking about each other, this is an issue from clinical leads down and has never in any way been successfully addressed.  I am [condition removed] and have unfortunately had a lot of [condition removed] related sickness.  My experience is there is little support or understanding of how [condition removed] related sickness should be treated or that somebody may not have a straight forward [condition removed] - I have had attempts to trigger maternity leave and told I would at face disciplinary for further [condition removed]  related sickness.  Clear irritation if I haven't been well enough to work and on my return senior staff won't ask how I am but will email about picking up more work etc.  I really feel that management would benefit from some training around how to support pregnant staff and particularly those who are experiencing [condition and details removed].  I had to ask repeatedly for [details removed] risk assessment.  Basic things like return to works (not even a phone discussion to see how I am) and updating my [details removed] risk assessment haven't been done.",1
Allied Health Professionals,I have completed this survey out of work time.,1
Allied Health Professionals,I have recently moved to a different job within the organisation so some questions were difficult to answer.,1
Allied Health Professionals,"I much prefer the morals and values of my position in the NHS compared to my previous private employment.  I am not a band 2 however our band 2 admins work with duties befitting band 3 as regular day-to-day activities if someone goes above and beyond their job description this should be reflected in usable reward, they deserve a chance to progress and fight for their right to appropriate pay.  One banding system does not work across all departments, they are not all a booking service.  We hear about clinical patient-facing understaffing and under pay, but the administration side seem not to get the recognition.  We cannot function without them.",1
Allied Health Professionals,"I think the Trust should do more to help with staff Psychological Wellbeing and Emotional Resilience due to having to deal with the general public and their traumas which they offload onto us.  Also I think the Trust's needs to do a LOT more work on Population Health and Prevention instead of fire fighting by frontline staff who are only getting burnt out.  Finally, with the rising level of anxiety and concern about Climate breakdown, 3/4 of the population have expressed feeling very worried about climate change and the direction humanity is headed, I would like to bring to your attention the effect this can have on us as Mersey Care staff and frontline healthcare professionals.  It is also on the rise in later life and within our hyper-individualistic, consumer-capitalist society, it can leave a lot of us feeling isolated, alienated, and helpless.  I have not seen any support (maybe I haven't looked hard enough) on the Mersey Care website, YourBrief emails or Magazine about the topic and was wondering if anyone in you are looking into this?  Earlier this year I attended a ""Climate Cafe"" / Listening Circle run by a member of The Climate Psychology Alliance (CPA).  They have registered and trained practitioners who have been holding safe spaces for people carrying the burden of being climate conscious, where it is often the only outlet people have to meet with likeminded individuals and hold a safe space for exploring how ""honouring our emotional responses can create strength in a time of climate and ecological breakdown"".  I met with the Psychologist afterwards who was more than happy to train others to be able to facilitate such safe spaces as they spend a lot of their time travelling between Liverpool and Manchester to deliver them.  They are beyond retirement age but continue to practice and volunteer for this cause but acknowledges they won't be able to continue for much longer and is keen to enable others to take up the baton to help with this work.  I'm sure if you did a survey of Mersey Care staff there would be quite a lot of people who are on the scale of ""somewhat"" to ""very worried"" as reported in the ONS study above.  I was wondering if this is something the Wellbeing Hub would be able to support?  I did email them this earlier in the year but didn't get any response.  Many thanks.",1
Allied Health Professionals,I wish that senior and operational managers were more active with staff worries/concerns re bullying at work from direct team leaders or other colleagues.,1
Allied Health Professionals,I work across two sites.  These answers were in relation to the Liverpool Community Learning Disability Team.  Many thanks.,1
Allied Health Professionals,"I've been working for my service for the last [timeframe removed].  The strains to the service have become more and more visible/significant during this time.  Treatment waiting lists have grown significantly.  Staffing levels have dropped.  Treatments have become more complex due to waiting times.  Time constraints per patient have not altered over the years I have worked for the NHS, meaning I am currently working harder per patient appointment, now than I ever have done before.  I also have the burden of patient dissatisfaction due to waiting times.  The days can become tiresome with constant complaints and maxing out efforts at work constantly.  I don't know the answer to the above problems but I can not see myself continuing within the NHS as I get towards retirement, I don't believe I would be physically capable to do this job full time into retirement.",1
Allied Health Professionals,"ICB and commissioning services is creating service gaps the patients are falling through and make it difficult to holistically care for patients and exacerbates long term health problems, mental health concerns and staff stress.",1
Allied Health Professionals,"Immediate line and team managers are brilliant and support from them is excellent.  However, I feel higher management do not understand our role, what is needed, the demands of the service and the needs of our client group.  We do not always have adequate resources to do our job.  This makes us feel devalued and affect motivation and wellbeing.",1
Allied Health Professionals,"Improvements needed to IT - computers that work, retain charge and internet access remotely,.  Improvements needed to HR and recruitment.  Need to respond to teams where demand is greater than capacity and investment in recruitment is needed.  Many contracts with previous CCGs ( now ICBs) are historic and no longer recognise the increase in demand and patient complexity.",1
Allied Health Professionals,"In my role I am due to competing values within the organisational partnership and as a result of my dependence on my employment, I am obliged to witness and collude with moral, ethical and clinical challenges which significantly impact my personal wellbeing and are juxtaposed to my personal and professional values.",1
Allied Health Professionals,Lack support via senior leadership and lack of awareness of our role.  Senior management will request us to complete additional tasks with no additional time which is not realistic.,1
Allied Health Professionals,Long standing staffing issues have been acknowledged and processes are now being put in place to address.,1
Allied Health Professionals,Mersey Care NHS Foundation Trust makes me feel supported through various ways.,1
Allied Health Professionals,"Middle management will not consider flexible working as there are not enough staff to in teams to provide the service.  The budget is more important than patients.  Staff are punished and penalised if there is a waiting list yet they are working hard and their pleas for more staff are ignored because of the budget.  There are gaps in service provision where the Commissioners have not considered Physiotherapy for Learning Disability pts in South Sefton, Merseyside.",1
Allied Health Professionals,"My answers are in relation to other partners such as LA, not just MCFT.",1
Allied Health Professionals,My current line manager and team manager at the time of this survey are supportive when I raise work pressures and time constraints.  This varies between different team managers and line managers.  There has been a huge increase in level of need with Speech and Language amongst children and this is very difficult to manage without more staff and in fact being understaffed.,1
Allied Health Professionals,"My flexible working application was rejected on the base that I don't have kids below 6 years old when was accepted for others who does have kids older then 6 years old - discrimination.  Rotation is not implemented, some people can work from home and some not - issue raised multiple times but not actioned.  Lack of appropriate desks and chairs - have to sit b broken table and armchair - MSK issues - raised with management multiple times - no action.  Management is dismissal and doesn't listen concerns and doesn't consult decisions with team members.",1
Allied Health Professionals,"My manager who sits under the community Service in South Sefton does not know how to support  staff that has neuro-diverse brain; they have received some work place training and whilst initially, it was being met with understanding, it became apparent that management were not willing to meet accommodations in practice - it was all just written down in a piece of paper but never really supported.  I have a fantastic colleagues and our Trust is great but we have an unreliable line manager, where they change their statements, they don't do what they say they do, and they see feedback as a threat and take things personally.  In turn, the team morale is low in general and those who has neuro diverse brain were covertly discriminated.",1
Allied Health Professionals,My role requires me to do Bronze-on-call duties.  I do feel that this impacts on work home life balance and is not adequately remunerated.  This also impacts on stress levels as often required to work outside of comfort zone.  This is the only negative aspect of my role and is the main factor for considering alternative employment.,1
Allied Health Professionals,My team has recently joined with other services so will have a new management structure going forward.  The information provided is generally about my pervious small team.  Unsure yet it things will be as good in the future.  Hopefully they will.,1
Allied Health Professionals,Negative comments that have been made in this are in relation to my previous job at another NHS Trust.,1
Allied Health Professionals,NHS management needs to stop continuously attempting to increase the staff work load.  If demands on services are increasing then this should be managed by increasing staffing.  We are continuously being informed that managers are scrutinising your diaries and that we are expected to see a minimum number of patients every day regardless of patient complexity.  Without completing admin outside of work hours it is impossible to maintain a case load.  Support services are disappearing resulting in increasing numbers of complex patients with social problems or safeguarding issues being routinely referred to the service.  Management focus on waiting lists can never be resolved by increasing pressure on existing staff or without investing in new staff and retaining existing staff.  I have worked in the NHS for over [number removed] years and have never witnessed such a hollowed out and demoralised NHS as exists now.,1
Allied Health Professionals,Opportunity for home working would greatly improve my work-life balance.,1
Allied Health Professionals,Our team would be better able to support our patients if we had more permanent staff and did not have to rely on bank staff.,1
Allied Health Professionals,"Pressure of workload, demands for managerial, clinical and professional duties can be difficult to manage some days.",1
Allied Health Professionals,"PSIRF and all the associated paperwork is clogging up valuable clinical time which would be better served with patients.  Experienced clinicians are processing RADARs, undertaking reviews then reviewing reviews.  It is a cumbersome process involving a multitude of personnel who would be better served treating patients and being available in their departments.  Nobody is questioning the value of patient safety but recently it has become unmanageable and is having a detrimental effect on staff morale.",1
Allied Health Professionals,Questions were clearly worded and easy to understand.,1
Allied Health Professionals,Senior managers are out of touch about the needs of the patients - too focused on numbers.,1
Allied Health Professionals,"Since we have had a new management structure, we now have a Operational Service Manager and Professional Lead whereas before we had a Clinical Lead who was my line manager and provided me with regular clinical supervision.  This means I do not have regular clinical supervision and my line manager is not from my own profession.  The suggested resolution to this is to do peer supervision which is not always adequate or appropriate.",1
Allied Health Professionals,Some of the questions are weird.,1
Allied Health Professionals,Staff are not encouraged to progress or develop things or take responsibility for issues that they are the expert on everything needs to be passed through SLT even though they have no expertise in the area.  There are also senior managers who get staff to do pieces of work and then pass the work off as their own with no acknowledgement of who actually did it this is unfair and in no way reflects a JLC culture.  Senior managers do not listen to anything they think they know things even though not in their field of expertise.,1
Allied Health Professionals,"Staffing levels are the biggest problem we face.  Recruitment and retention of staff is extremely difficult / poor thus putting more pressure on existing staff.  The real concerns of staff are not being listened to, in Podiatry the eligibility criteria is at least 10 years out of date.  We should be operating a High Risk service only with the levels of staff we have available, yet low risk patients have easy access to NHS assessment / treatment when they should be directed to private practitioners.  Meaningful change is being delayed by transformation and IT systems remain unreliable and time-consuming.",1
Allied Health Professionals,Thank you NHS.,1
Allied Health Professionals,"The amount of defensive practice happening now due to fear in clinicians is truly heart-breaking.  I have never in [timeframe removed] seen such anxiety amongst a staff group.  Too many box ticking exercises being placed onto Mersey care staff and not enough recognition for the documentation that covers all these box ticking areas/exercises.  This is taking up far too much clinical time.  There is too much recruitment to managerial positions and too many of these jobs are with people who have no or minimal clinical experience working in the NHS today, and it shows.  Whilst the main areas are ignored the real problems will sadly not be solved.  I will always remain proud to work in the NHS but feel sad that decision making processes that pave the way for the future can present as ill informed at times.",1
Allied Health Professionals,"The department does not have enough staff for the demands of the service.  External training courses (once per year) have been cancelled due to low staffing levels/ service demands - Lost CPD.  Service not very flexible on leave for last minute school meetings.  Occupational health times very long but were still expected to work when we have our own health issues.  Too many people on home visits, staff are going to have long term health problems.  A lot would be able to get clinic.",1
Allied Health Professionals,The expected paperwork since the introduction of RiO has become unmanageable!  It means that I have less time to see service users and actually do my job.,1
Allied Health Professionals,"The extreme shortage of occupational therapists in the trust has resulted in mobilising existing staff to cover areas of need.  This has then resulted in other occupational therapists leaving the trust, leaving an even bigger deficit and having further consequences on the remaining occupational therapists.  Although it has been declared as a risk; processes are still not in place to address this, e.g. approval for advertising for agency/locum occupational therapists.  Some of this is also hampered by long recruitment processes (4-6 months) subsequently delaying new starters, all of which continues to have a detrimental impact on the delivery of occupational therapy services.",1
Allied Health Professionals,"The governance aspect of the job is stifling service development.  I recognise its importance, but so much of my time at work feels like it is taken up 'gathering evidence' - for QRV, CQC monitoring, PSIRF, surveys etc.  Constantly having to evidence that we are performing well ironically feels like it has a negative impact on team performance.  It so often takes me away from looking after patients /direct care and training for my team.  I wish there was a more suitable way to provide quality assurance without the masses of documentation.  I often have to spend time at home completing g this type of documentation.",1
Allied Health Professionals,"The leadership team is in disarray, therefore the team comes across as dysfunctional.  No one knows who does what role and people are reluctant do undertake tasks or roles that were previously the responsibility of staff in 'higher' bands..  The team is also incredibly hierarchal..  Some experienced staff do not like being questioned and very defensive about being asked questions, rather than understanding that questions are not criticism, questions are a quest for understanding and learning.",1
Allied Health Professionals,"The organisation is now too big, corporate functions including HR are not resourced to support clinical services fully and corporate functions lie with clinical managers who don't always have that skill set amongst everything they need to do.  Plus some corporate functions are still unknown to clinical operational services plus there is at times a cost attached to clinical services for these functions when teams are not always fully established or demand outweighs capacity in a lot of clinical services.",1
Allied Health Professionals,"The restructuring of the SLT band 8a and above has had a detrimental effect on the workings of the team.  We have less band 8a time and the duties they performed have filtered down to the band 7s.  There is no appreciation of this from SLT and there is an underlying atmosphere that the Band 7s are not working hard enough; we are told repeatedly that our diaries are being scrutinised and monitored.  I took an instance of incivility from a member of the team to both the band 8a and 8b and no action has been taken, resulting in me feeling unsafe in work.  It was suggested to me, by my band 8a, to request carers leave to take my child for surgery.  After the request was made, I was told I would be able to take 4 hours and have to work the other 4 hours back as TOIL - something that I struggle to do.  If I knew this was the case I would've asked to change my NWD.  This does not make me feel valued by the organisation.",1
Allied Health Professionals,"The service is stretched the stress this puts on staff is a lot.  Although I feel supported by my mangers, I can't see it improving without further investment in Allied Health Professional role's.",1
Allied Health Professionals,The sickness/absence policy is too lenient.  We have staff who repeatedly are on long term sick leave and remain in work.  When these staff are in leadership posts and several are off at a time it is difficult to function effectively.,1
Allied Health Professionals,"The team I work is excellent - full of dedicated professionals and extremely supportive of one another.  The Trust, however, less so, with the impression that we need to 'tick boxes' over and above providing patient care.  The Trust aim of ""perfect care"" sets us up to fail - we are expected to deliver perfection, despite imperfect circumstances and situations.  The question regarding accessibility to healthy, nutritious food appears to be essentially asking us if we can prepare a healthy, nutritious packed lunch.  At our current work site we DO NOT have any access to healthy, nutritious food on site, unless we prepare it ourselves and bring it with us.",1
Allied Health Professionals,The trust just doesn't seem to care about employees.,1
Allied Health Professionals,The uncertainty of not knowing if the service will be recommissioned for 2025 is very frustrating and damaging to staff wellbeing and morale.  We provide a high class service to our patients and are passionate about the service and intervention we provide and this should be recognised with basic communication from commissioners regarding the service moving forwards.  Not only staff but patients are very anxious regarding this.,1
